"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,117,"KAZ","Kazakhstan",1,"Almaty","Oblasy","Region",NA,"Alma-Ata|Alma-Atinskaya Oblast'|Almatinskaya Oblast'"
2,117,"KAZ","Kazakhstan",2,"Aqmola","Oblasy","Region",NA,"Akmolin|Akmolinsk|Tselinograd"
3,117,"KAZ","Kazakhstan",3,"Aqtöbe","Oblasy","Region",NA,"Aktyubinsk"
4,117,"KAZ","Kazakhstan",4,"Atyrau","Oblasy","Region",NA,"Ateransk|Gur'yev"
5,117,"KAZ","Kazakhstan",5,"East Kazakhstan","Oblasy","Region",NA,"Shyghys Qazaqstan|Vostochno-Kazakhstan"
6,117,"KAZ","Kazakhstan",6,"Mangghystau","Oblasy","Region",NA,"Mangistau|Mangyshlak"
7,117,"KAZ","Kazakhstan",7,"North Kazakhstan","Oblasy","Region",NA,"Severo-Kazakhstan|Soltustik Qazaqstan"
8,117,"KAZ","Kazakhstan",8,"Pavlodar","Oblasy","Region",NA,NA
9,117,"KAZ","Kazakhstan",9,"Qaraghandy","Oblasy","Region",NA,"Karaganda|Karagandinskaya Oblast'"
10,117,"KAZ","Kazakhstan",10,"Qostanay","Oblasy","Region",NA,"Kustanai|Kustanay"
11,117,"KAZ","Kazakhstan",11,"Qyzylorda","Oblasy","Region",NA,"Kyzyl-Orda|Kzyl-Orda|Kzyl-Ordinskaya Oblast'"
12,117,"KAZ","Kazakhstan",12,"South Kazakhstan","Oblasy","Region",NA,"Chimkent"
13,117,"KAZ","Kazakhstan",13,"West Kazakhstan","Oblasy","Region",NA,"Ural'sk"
14,117,"KAZ","Kazakhstan",14,"Zhambyl","Oblasy","Region",NA,"Dzhambul"
